date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:51	49112/49112	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2012:24:34%20GMT	https://bus.burulas.com.tr/	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/index.html	(from )
12:24:51	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2012:24:34%20GMT	https://bus.burulas.com.tr/robots.txt		(from )
12:24:51	321187/321187	---M--	200	added ('OK')	text/css	etag:%221da6128949598a3%22	https://bus.burulas.com.tr/css/bundles/headerstylesbus.min.css?v=3hiw7TBPkTCK1Po144SBalRutOVlyYVUoqYSl46XB9A	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/css/bundles/headerstylesbus.min3cca.css	(from https://bus.burulas.com.tr/)
12:24:51	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%221d866c53fa82e6e%22	https://bus.burulas.com.tr/img/burulasfavicon.ico	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/img/burulasfavicon.ico	(from https://bus.burulas.com.tr/)
12:24:51	198227/198227	---M--	200	added ('OK')	image/jpeg	etag:%221d919c7f099b9d3%22	https://bus.burulas.com.tr/BusAd/bus_popup_2.jpg?version=1.0.0.0	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/BusAd/bus_popup_20a94.jpg	(from https://bus.burulas.com.tr/)
12:24:52	198227/198227	---M--	200	added ('OK')	image/jpeg	etag:%221d919c7f099b9d3%22	https://bus.burulas.com.tr/BusAd/bus_popup_2.jpg?v=VHseuTy6PewFJZ1gzcEHFa0jSztRooK_KiX2vwjvtDA	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/BusAd/bus_popup_25841.jpg	(from https://bus.burulas.com.tr/)
12:24:52	54195/54195	---M--	200	added ('OK')	image/png	etag:%221d866c540d99233%22	https://bus.burulas.com.tr/img/bus/bbbuslogo.png	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/img/bus/bbbuslogo.png	(from https://bus.burulas.com.tr/)
12:24:52	50687/50687	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2012:24:35%20GMT	https://bus.burulas.com.tr/tr/Bus/Index	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/tr/Bus/Index.html	(from https://bus.burulas.com.tr/)
12:24:53	10449/10449	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2012:24:36%20GMT	https://bus.burulas.com.tr/tr/Home/Index	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/tr/Home/Index.html	(from https://bus.burulas.com.tr/)
12:24:53	6839/6839	---M--	200	added ('OK')	image/png	etag:%221d866c54040b1b7%22	https://bus.burulas.com.tr/img/burulasLogo.png	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/img/burulasLogo.png	(from https://bus.burulas.com.tr/)
12:24:54	50687/50687	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2012:24:37%20GMT	https://bus.burulas.com.tr/tr/Bus	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/tr/Bus.html	(from https://bus.burulas.com.tr/)
12:24:54	50339/50339	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2012:24:37%20GMT	https://bus.burulas.com.tr/en/Bus	C:/xampp/htdocs/umuttepe-turizm/umuttepe-turizm/bus.burulas.com.tr/en/Bus.html	(from https://bus.burulas.com.tr/)
